units = {
	##### NAVAL UNITS #####
	fleet = {
		name = "Regna Marina"			
		naval_base = 11837 # Taranto
		task_force = {
			ship = { name = "RCT Giuseppe Sirtori" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Angelo Bassini" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Enrico Cosenz" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Giacomo Medici" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Nicola Fabrizi" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Marcello Prestinari" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Antonio Cantore" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Giuseppe La Masa" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Giacinto Carini" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Calatafimi" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Castelfidardo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Curtatone" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Monzambano" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Achille Papa" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Carlo Montanari" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Antonino Cascino" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Generale Antonio Chinotto" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Antonio Mosto" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Ippolito Nievo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } } 
			ship = { name = "RCT Fratelli Cairoli" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Palestro" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Confienza" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT San Martino" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Solferino" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Giuseppe La Farina" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Simone Schiaffino" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Giuseppe Dezza" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Giuseppe Cesare Abba" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Francesco Crispi" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Quintino Sella" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Aquilone" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Euro" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Nembo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Turbine" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Francesco Nullo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Nazario Sauro" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Cesare Battisti" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Daniele Manin" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Giovanni Acerbi" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Vincenzo Giordano Orsini" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }

			ship = { name = "RCT Carlo Mirabello" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Augusto Riboty" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Nicoloso da Recco" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Emanuele Pessagno" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Luca Tarigo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Antoniotto Usodimare" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Antonio da Noli" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Ugolino Vivaldi" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Lanzerotto Malocello" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Leone Pancaldo" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Antonio Pigafetta" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Alvise da Mosto" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Giovanni da Verrazzano" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Nicolò Zeno" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Leone" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Pantera" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Tigre" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }

			ship = { name = "RCT Aquila" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }
			ship = { name = "RCT Falco" definition = destroyer start_experience_factor = 0.3 equipment = { ship_hull_light_1 = { amount = 1 owner = ITA version_name = "Aquila, Navigatori, Curtatone -classes" } } }

		}
	}
}
